Country,song_title,artist,streams,rank
United States,Rockin' Around The Christmas Tree,Brenda Lee,5662961,1
United States,34+35,Ariana Grande,5425062,2
United States,Jingle Bell Rock,Bobby Helms,5326633,3
United States,Mood (feat. iann dior),24kGoldn,5204578,4
United States,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,5165110,5
United States,DÁKITI,"Bad Bunny, Jhay Cortez",5102182,6
United States,All I Want for Christmas Is You,Mariah Carey,5071065,7
United States,It's the Most Wonderful Time of the Year,Andy Williams,4985189,8
United States,positions,Ariana Grande,4954597,9
United States,Good Days,SZA,4601858,10
UK,Last Christmas,Wham!,3220201,1
UK,All I Want for Christmas Is You,Mariah Carey,3111519,2
UK,Rockin' Around The Christmas Tree,Brenda Lee,2743732,3
UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,2518827,4
UK,It's the Most Wonderful Time of the Year,Andy Williams,2353487,5
UK,Jingle Bell Rock,Bobby Helms,2247393,6
UK,Santa Tell Me,Ariana Grande,2198371,7
UK,Underneath the Tree,Kelly Clarkson,2112475,8
UK,Do They Know It's Christmas? - 1984 Version,Band Aid,2101341,9
UK,Fairytale of New York (feat. Kirsty MacColl),The Pogues,2047272,10
Australia,WITHOUT YOU,The Kid LAROI,1314134,1
Australia,Mood (feat. iann dior),24kGoldn,1309470,2
Australia,positions,Ariana Grande,1163019,3
Australia,Head & Heart (feat. MNEK),Joel Corry,1132070,4
Australia,Levitating (feat. DaBaby),Dua Lipa,987633,5
Australia,SO DONE,The Kid LAROI,987420,6
Australia,All I Want for Christmas Is You,Mariah Carey,947859,7
Australia,Blinding Lights,The Weeknd,886395,8
Australia,What You Know Bout Love,Pop Smoke,878531,9
Australia,34+35,Ariana Grande,875348,10
Brazil,Recairei - Ao Vivo,Os Barões Da Pisadinha,6719221,1
Brazil,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",6678895,2
Brazil,Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,5861680,3
Brazil,Amor ou o Litrão,"Petter Ferraz, Menor Nico",5427280,4
Brazil,Basta Você Me Ligar - Ao Vivo,"Os Barões Da Pisadinha, Xand Avião",5301451,5
Brazil,Investe Em Mim,Jonas Esticado,5045633,6
Brazil,Lance Individual,Jorge & Mateus,5042883,7
Brazil,Alô Ambev (Segue Sua Vida) - Ao Vivo,Zé Neto & Cristiano,4719927,8
Brazil,Amor da Despedida,"Os Barões Da Pisadinha, Fernando & Sorocaba",4221834,9
Brazil,Só Tem Eu,Zé Felipe,4121436,10
Canada,All I Want for Christmas Is You,Mariah Carey,1225813,1
Canada,Rockin' Around The Christmas Tree,Brenda Lee,1159235,2
Canada,Last Christmas,Wham!,1120865,3
Canada,Jingle Bell Rock,Bobby Helms,1090275,4
Canada,It's Beginning to Look a Lot like Christmas,Michael Bublé,1061044,5
Canada,Santa Tell Me,Ariana Grande,1007293,6
Canada,It's the Most Wonderful Time of the Year,Andy Williams,973589,7
Canada,Mood (feat. iann dior),24kGoldn,922373,8
Canada,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,818530,9
Canada,Whoopty,CJ,790763,10
Colombia,DÁKITI,"Bad Bunny, Jhay Cortez",1013458,1
Colombia,BICHOTA,KAROL G,831932,2
Colombia,Hawái,Maluma,622886,3
Colombia,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",609474,4
Colombia,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",508634,5
Colombia,Reloj,"Rauw Alejandro, Anuel AA",499374,6
Colombia,Vida de Rico,Camilo,464211,7
Colombia,Una Locura,"Ozuna, J Balvin, Chencho Corleone",439265,8
Colombia,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",433714,9
Colombia,Hecha Pa' Mi,Boza,428066,10
Germany,Lost (feat. TOPIC42),Samra,2238622,1
Germany,Mood (feat. iann dior),24kGoldn,2030156,2
Germany,Head & Heart (feat. MNEK),Joel Corry,1939890,3
Germany,The Business,Tiësto,1842868,4
Germany,Blinding Lights,The Weeknd,1715076,5
Germany,Last Christmas,Wham!,1686818,6
Germany,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",1670517,7
Germany,All I Want for Christmas Is You,Mariah Carey,1589604,8
Germany,Verlierer,LUNA,1550183,9
Germany,Goosebumps,HVME,1503705,10
Hong Kong,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,129313,1
Hong Kong,是但求其愛,Eason Chan,115204,2
Hong Kong,一人之境 in C major,Terence Lam,112750,3
Hong Kong,時光倒流一句話,Terence Lam,104521,4
Hong Kong,隔離 - Studio Live Duet,"Jace Chan, Terence Lam",104129,5
Hong Kong,銀河修理員,Dear Jane,96079,6
Hong Kong,Afterglow,Ed Sheeran,91241,7
Hong Kong,All I Want for Christmas Is You,Mariah Carey,89198,8
Hong Kong,Last Christmas,Wham!,86615,9
Hong Kong,Santa Tell Me,Ariana Grande,84550,10
Hungary,Mood (feat. iann dior),24kGoldn,101705,1
Hungary,Head & Heart (feat. MNEK),Joel Corry,90765,2
Hungary,Blinding Lights,The Weeknd,89651,3
Hungary,HOLIDAY,Lil Nas X,86287,4
Hungary,All I Want for Christmas Is You,Mariah Carey,79886,5
Hungary,The Business,Tiësto,79542,6
Hungary,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,78173,7
Hungary,Roses - Imanbek Remix,SAINt JHN,72975,8
Hungary,Snowman,Sia,72301,9
Hungary,Last Christmas,Wham!,71606,10
Indonesia,At My Worst,Pink Sweat$,2053413,1
Indonesia,Bertaut,Nadin Amizah,1936225,2
Indonesia,Snowman,Sia,1775889,3
Indonesia,Melukis Senja,Budi Doremi,1642587,4
Indonesia,Mungkin Hari Ini Esok Atau Nanti,Anneth,1489358,5
Indonesia,Life Goes On,BTS,1199259,6
Indonesia,34+35,Ariana Grande,1134416,7
Indonesia,Cuek,Rizky Febian,1097087,8
Indonesia,I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,1002494,9
Indonesia,positions,Ariana Grande,988455,10
India,Waalian,Harnoor,1397115,1
India,Shayad,"Pritam, Arijit Singh",1289244,2
India,Mirchi,"DIVINE, MC Altaf, Stylo G, Phenom",1231341,3
India,Titliaan,"Afsana Khan, Harrdy Sandhu, Sargun Mehta",1209883,4
India,positions,Ariana Grande,1125222,5
India,Naach Meri Rani,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi",1097061,6
India,Aabaad Barbaad,"Pritam, Arijit Singh",1094806,7
India,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",1050837,8
India,Liggi,Ritviz,1034059,9
India,Dynamite,BTS,984686,10
Japan,Dynamite,BTS,2303401,1
Japan,炎,LiSA,1999468,2
Japan,夜に駆ける,YOASOBI,1856801,3
Japan,ドライフラワー,優里,1850014,4
Japan,虹,Masaki Suda,1492494,5
Japan,silent,SEKAI NO OWARI,1388083,6
Japan,"Stand by me, Stand by you.",HIRAIDAI,1380525,7
Japan,裸の心,Aimyon,1370483,8
Japan,Make you happy,NiziU,1340574,9
Japan,Step and a step,NiziU,1271196,10
Mexico,DÁKITI,"Bad Bunny, Jhay Cortez",7414725,1
Mexico,BICHOTA,KAROL G,6719886,2
Mexico,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",3870457,3
Mexico,Hawái,Maluma,3652078,4
Mexico,Reloj,"Rauw Alejandro, Anuel AA",3292992,5
Mexico,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",2678436,6
Mexico,Se Te Nota (with Guaynaa),Lele Pons,2677503,7
Mexico,La Tóxica,Farruko,2650289,8
Mexico,Dime Cómo Quieres,"Christian Nodal, Ángela Aguilar",2597973,9
Mexico,Hecha Pa' Mi,Boza,2411603,10
Malaysia,At My Worst,Pink Sweat$,370372,1
Malaysia,Life Goes On,BTS,282917,2
Malaysia,Snowman,Sia,258300,3
Malaysia,34+35,Ariana Grande,255186,4
Malaysia,positions,Ariana Grande,251348,5
Malaysia,Heather,Conan Gray,238577,6
Malaysia,Dynamite,BTS,235883,7
Malaysia,Lonely (with benny blanco),Justin Bieber,228140,8
Malaysia,you broke me first,Tate McRae,205226,9
Malaysia,Sofia,Clairo,189182,10
Netherlands,All I Want for Christmas Is You,Mariah Carey,1315342,1
Netherlands,Last Christmas,Wham!,1278847,2
Netherlands,The Business,Tiësto,1040305,3
Netherlands,Santa Tell Me,Ariana Grande,1027482,4
Netherlands,It's Beginning to Look a Lot like Christmas,Michael Bublé,1016597,5
Netherlands,It's the Most Wonderful Time of the Year,Andy Williams,1009484,6
Netherlands,Driving Home for Christmas - 2019 Remaster,Chris Rea,952244,7
Netherlands,Rockin' Around The Christmas Tree,Brenda Lee,915026,8
Netherlands,Underneath the Tree,Kelly Clarkson,866646,9
Netherlands,Mood (feat. iann dior),24kGoldn,854910,10
Sweden,Du måste finnas,Newkid,1205497,1
Sweden,Starkare,Newkid,1031180,2
Sweden,Ge upp igen,"Miriam Bryant, Yasin",993458,3
Sweden,Svag,Victor Leksell,930359,4
Sweden,Ser du månen där du är ikväll? (Tillsammans igen),Thomas Stenström,807460,5
Sweden,WITHOUT YOU,The Kid LAROI,781927,6
Sweden,Blinding Lights,The Weeknd,690458,7
Sweden,Mood (feat. iann dior),24kGoldn,616867,8
Sweden,Head & Heart (feat. MNEK),Joel Corry,581205,9
Sweden,Pistol Whip,Jaffar Byn,571642,10
Singapore,34+35,Ariana Grande,226231,1
Singapore,positions,Ariana Grande,213877,2
Singapore,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,208141,3
Singapore,At My Worst,Pink Sweat$,204992,4
Singapore,Dynamite,BTS,200451,5
Singapore,Snowman,Sia,192874,6
Singapore,Life Goes On,BTS,178103,7
Singapore,Afterglow,Ed Sheeran,177005,8
Singapore,All I Want for Christmas Is You,Mariah Carey,159289,9
Singapore,Santa Tell Me,Ariana Grande,157285,10
Thailand,ถ้าเธอรักฉันจริง,Three Man Down,764393,1
Thailand,แฟนใหม่หน้าคุ้น,"Maiyarap, MILLI",439484,2
Thailand,จำเลยรัก - Defendant Of Love,"F.HERO, Txrbo",438047,3
Thailand,"โคตรพิเศษ - From"" แปลรักฉันด้วยใจเธอ""",Billkin,389713,4
Thailand,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,380434,5
Thailand,พี่ไม่หล่อลวง - เพลงประกอบภาพยนตร์ อ้าย..คนหล่อลวง,BamBam (GOT7),373484,6
Thailand,อยากเริ่มต้นใหม่กับคนเดิม (repeat),Ink Waruntorn,364854,7
Thailand,Melbourne,"Morvasu, TangBadVoice",360630,8
Thailand,ช่วยไม่ได้,UrboyTJ,356361,9
Thailand,"แปลไม่ออก - From ""I told sunset about you""",Billkin,352000,10
Taiwan,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,481877,1
Taiwan,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,337145,2
Taiwan,飞鸟和蝉,Ren Ran,308234,3
Taiwan,Without You,高爾宣 OSN,259942,4
Taiwan,Afterglow,Ed Sheeran,248837,5
Taiwan,怎麼了,Eric Chou,241746,6
Taiwan,因為你 所以我,Mayday,230323,7
Taiwan,她沒在看我,E.SO,226701,8
Taiwan,炎,LiSA,221108,9
Taiwan,Dynamite,BTS,212180,10
Vietnam,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,931581,1
Vietnam,Bước Qua Mùa Cô Đơn,Vũ.,331510,2
Vietnam,Đi Về Nhà,"Đen, JustaTee",329021,3
Vietnam,Trên Tình Bạn Dưới Tình Yêu,MIN,232775,4
Vietnam,Nàng Thơ,Hoang Dung,222643,5
Vietnam,từ thích thích thành thương thương,"AMEE, Hoang Dung",201569,6
Vietnam,Gác Lại Âu Lo,"Da LAB, Miu Lê",197667,7
Vietnam,BLACKJACK,"Soobin Hoang Son, Binz",194957,8
Vietnam,CÓ CHẮC YÊU LÀ ĐÂY,Sơn Tùng M-TP,174189,9
Vietnam,Dân Chơi Xóm (feat. RPT MCK & JustaTee),RAP VIỆT,173443,10
